song_name,file_size_kb,date_process,wiener_improvement_%,wiener_performance,wiener_time_s,mmse_improvement_%,mmse_performance,mmse_time_s,best_improvement_%,best_performance,best_time_s
2_SZA__Doves_In_The_Wind_0.wav,702.04,2025-11-22T20:58:11.175134,13.44,0.81,0.028,15.1,0.82,0.052,15.1,0.82,0.052
2_SZA__Doves_In_The_Wind_2.wav,577.04,2025-11-22T20:58:11.253071,12.67,0.81,0.022,13.76,0.82,0.043,13.76,0.82,0.043
12_SZA__Garden_Say_It_Like_Dat_Filtered_Acapella_Vocals_3.wav,5318.04,2025-11-22T20:58:11.930635,7.71,0.79,0.202,9.87,0.8,0.396,9.87,0.8,0.396
SZA_Snooze_3.wav,571.04,2025-11-22T20:58:12.009476,2.79,0.77,0.022,5.18,0.78,0.042,5.18,0.78,0.042
4_SZA__Drew_Barrymore_Filtered_Acapella_Vocals_5.wav,4779.04,2025-11-22T20:58:12.618006,10.6,0.8,0.186,12.17,0.8,0.346,12.17,0.8,0.346
6_SZA__The_Weekend_Filtered_Acapella_Vocals_2.wav,397.04,2025-11-22T20:58:12.675291,6.39,0.78,0.017,9.25,0.79,0.029,9.25,0.79,0.029
13_SZA__Broken_Clocks_Filtered_Acapella_Vocals_5.wav,625.04,2025-11-22T20:58:12.759792,5.19,0.77,0.026,7.03,0.78,0.045,7.03,0.78,0.045
1_SZA__Supermodel_Filtered_Acapella_Vocals_4.wav,1233.04,2025-11-22T20:58:12.925189,8.2,0.79,0.047,11.76,0.81,0.096,11.76,0.81,0.096
SZA_Good_days_1.wav,370.3,2025-11-22T20:58:12.979263,4.61,0.77,0.015,7.21,0.78,0.028,7.21,0.78,0.028
9_SZA__Pretty_Little_Birds_3.wav,915.04,2025-11-22T20:58:13.102360,8.29,0.79,0.036,11.0,0.8,0.067,11.0,0.8,0.067
9_SZA__Pretty_Little_Birds_2.wav,3038.04,2025-11-22T20:58:13.496311,11.19,0.8,0.119,12.91,0.81,0.224,12.91,0.81,0.224
SZA_Good_days_0.wav,370.44,2025-11-22T20:58:13.550608,7.08,0.79,0.015,9.03,0.79,0.029,9.03,0.79,0.029
1_SZA__Supermodel_Filtered_Acapella_Vocals_5.wav,2557.04,2025-11-22T20:58:13.879388,4.71,0.77,0.1,13.51,0.81,0.188,13.51,0.81,0.188
13_SZA__Broken_Clocks_Filtered_Acapella_Vocals_4.wav,9217.04,2025-11-22T20:58:15.032705,5.6,0.78,0.352,8.08,0.79,0.659,8.08,0.79,0.659
6_SZA__The_Weekend_Filtered_Acapella_Vocals_3.wav,667.04,2025-11-22T20:58:15.129133,-1.52,0.74,0.025,2.99,0.76,0.049,2.99,0.76,0.049
